class_id,class_name,confidence,track_id,bbox,mask
3,car,0.6608004570007324,1,"[1774.093994140625, 432.7679748535156, 1920.0, 496.9251708984375]",
3,car,0.7908576130867004,2,"[1465.4649658203125, 241.6509246826172, 1608.719970703125, 301.265625]",
3,car,0.742082953453064,3,"[1514.8665771484375, 340.5921936035156, 1652.77294921875, 395.7643737792969]",
3,car,0.1291460543870926,4,"[530.763671875, 1036.9251708984375, 584.9969482421875, 1080.0]",
3,car,0.6449294686317444,5,"[617.783935546875, 815.3775634765625, 679.3897094726562, 960.83837890625]",
8,bus,0.6823775768280029,6,"[0.14649462699890137, 197.35134887695312, 107.82257843017578, 326.95294189453125]",
9,motor,0.1227139383554458,7,"[1906.590576171875, 536.7308349609375, 1920.0, 591.0300903320312]",
4,van,0.6543009281158447,8,"[613.7346801757812, 944.6112670898438, 679.662109375, 1079.71484375]",
4,van,0.3941465318202972,9,"[172.13034057617188, 546.2835083007812, 274.4844665527344, 594.6407470703125]",
3,car,0.1487232148647308,10,"[1898.0048828125, 445.2613830566406, 1919.97119140625, 496.67803955078125]",
5,truck,0.4122745394706726,11,"[107.27902221679688, 544.3711547851562, 250.3186492919922, 596.4681396484375]",
0,pedestrian,0.129190906882286,12,"[859.6185302734375, 874.9335327148438, 881.9623413085938, 930.83154296875]",
4,van,0.44054731726646423,13,"[0.0, 200.85459899902344, 73.07937622070312, 325.1466064453125]",
9,motor,0.2522034049034118,14,"[109.2750015258789, 924.2193603515625, 165.17312622070312, 974.51806640625]",
5,truck,0.4087238013744354,18,"[64.3087158203125, 541.1502685546875, 217.6070098876953, 599.4134521484375]",
4,van,0.3723763525485992,19,"[617.93115234375, 823.128662109375, 679.2225341796875, 974.321044921875]",
4,van,0.4951151907444,20,"[1814.9039306640625, 437.5740051269531, 1919.9305419921875, 492.7666931152344]",
3,car,0.4282694458961487,25,"[1824.24072265625, 439.8350830078125, 1920.0, 492.0265808105469]",
3,car,0.4263432919979095,28,"[518.3406982421875, 946.0654907226562, 585.0733032226562, 1079.875732421875]",
4,van,0.2385420501232147,29,"[615.5047607421875, 889.8501586914062, 679.2144165039062, 1033.159423828125]",
4,van,0.5243954062461853,30,"[97.875244140625, 546.6675415039062, 200.0430908203125, 594.8899536132812]",
4,van,0.3476738035678863,31,"[1600.6502685546875, 335.4927062988281, 1750.849853515625, 396.661865234375]",
3,car,0.5746106505393982,32,"[843.20654296875, 1029.1741943359375, 899.5718994140625, 1079.999755859375]",
3,car,0.4378547966480255,34,"[615.5667724609375, 932.9405517578125, 681.7687377929688, 1079.931396484375]",
3,car,0.5913266539573669,37,"[340.822509765625, 539.25439453125, 481.61724853515625, 599.8935546875]",
3,car,0.46280422806739807,40,"[0.0, 439.6102294921875, 22.720434188842773, 495.02490234375]",
8,bus,0.121938444674015,44,"[0.0, 198.0833740234375, 125.55972290039062, 326.7759094238281]",
4,van,0.4587620794773102,52,"[1773.517822265625, 432.3982849121094, 1919.2305908203125, 498.50189208984375]",
